ID_DECLARATION;TYPE_DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE_DECLARATION;MOIS_DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d
28982;Objets abandonnés;Autres objets encombrants abandonnés;10 rue du Docteur Lamaze, 75019 PARIS;75019;Paris 19;19;FLANDRE - AUBERVILLIERS;2021-01-18;2021;1;Page DMR Paris.fr;Ramen en tant que prestataire de DansMaRue;S2021A028982;"{""coordinates"": [2.372720501654936, 48.889589996197394], ""type"": ""Point""}";48.889589996197394,2.372720501654936
29835;Graffitis, tags, affiches et autocollants;Graffitis sur mur, façade sur rue, pont;36 rue Bichat, 75010 PARIS;75010;Paris 10;10;FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS;2021-01-19;2021;1;Page DMR Paris.fr;graffitis;S2021A029835;"{""coordinates"": [2.368147904327153, 48.87152999526608], ""type"": ""Point""}";48.87152999526608,2.368147904327153
11886;Objets abandonnés;Autres objets encombrants abandonnés;155 Rue Cardinet, 75017 PARIS;75017;Paris 17;17;MARTIN LUTHER KING;2021-01-08;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A011886;"{""coordinates"": [2.317151994972407, 48.89119299474549], ""type"": ""Point""}";48.89119299474549,2.317151994972407
11899;Objets abandonnés;Autres objets encombrants abandonnés;58 Rue de l'Aqueduc, 75010 PARIS;75010;Paris 10;10;LOUIS BLANC - AQUEDUC;2021-01-08;2021;1;IOPage DMR Paris.fr application;Ramen en tant que prestataire de DansMaRue;A2021A011899;"{""coordinates"": [2.365264406238782, 48.88284700351721], ""type"": ""Point""}";48.88284700351721,2.365264406238782
11909;Objets abandonnés;Autres objets encombrants abandonnés;106 Rue des Amandiers, 75020 PARIS;75020;Paris 20;20;AMANDIERS - MENILMONTANT;2021-01-08;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A011909;"{""coordinates"": [2.388730996327768, 48.86777999827195], ""type"": ""Point""}";48.86777999827195,2.388730996327768
11915;Graffitis, tags, affiches et autocollants;Graffitis sur mur, façade sur rue, pont;14 Rue Carrière-Mainguet, 75011 PARIS;75011;Paris 11;11;LEON BLUM - FOLIE-REGNAULT;2021-01-08;2021;1;Androï;graffitis;G2021A011915;"{""coordinates"": [2.387607803079172, 48.856599995660474], ""type"": ""Point""}";48.856599995660474,2.387607803079172
12728;Objets abandonnés;Autres objets encombrants abandonnés;164E Rue de Saussure, 75017 PARIS;75017;Paris 17;17;PEREIRE - MALESHERBES;2021-01-09;2021;1;IOPage DMR Paris.fr application;Ramen en tant que prestataire de DansMaRue;A2021A012728;"{""coordinates"": [2.306819196010973, 48.89031199996087], ""type"": ""Point""}";48.89031199996087,2.306819196010973
9464;Objets abandonnés;Autres objets encombrants abandonnés;22 Avenue du Général Clavery, 75016 PARIS;75016;Paris 16;16;AUTEUIL SUD;2021-01-07;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A009464;"{""coordinates"": [2.259901496356114, 48.83630799646315], ""type"": ""Point""}";48.83630799646315,2.259901496356114
10267;Objets abandonnés;Autres objets encombrants abandonnés;40 Rue Léon, 75018 PARIS;75018;Paris 18;18;GOUTTE D'OR - CHATEAU ROUGE;2021-01-08;2021;1;Androï;Ramen en tant que prestataire de DansMaRue;G2021A010267;"{""coordinates"": [2.353744695014896, 48.889365994910136], ""type"": ""Point""}";48.889365994910136,2.353744695014896
10277;Propreté;Déchets et/ou salissures divers;3 Avenue de Ségur, 75007 PARIS;75007;Paris 7;7;ECOLE MILITAIRE;2021-01-08;2021;1;Androï;DPE-STPP-DT;G2021A010277;"{""coordinates"": [2.311328002929591, 48.852984997684096], ""type"": ""Point""}";48.852984997684096,2.311328002929591
10278;Éclairage / Électricité;Éclairage public éteint la nuit;14 Rue du Chevaleret, 75013 PARIS;75013;Paris 13;13;BIBLIOTHEQUE - SEINE;2021-01-08;2021;1;Androï;Prestataire de la DVD opérant sur tout Paris (Éclairage et signalisation lumineuse);G2021A010278;"{""coordinates"": [2.378320497929721, 48.82603500194077], ""type"": ""Point""}";48.82603500194077,2.378320497929721
10286;Propreté;[] Propreté d'une Porte de Paris nécessitant l'intervention de la Fonctionnelle;34 Avenue de la Porte de Clignancourt, 75018 PARIS;75018;Paris 18;18;MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT;2021-01-08;2021;1;Androï;DPE-STPP-Fonctionnelle;G2021A010286;"{""coordinates"": [2.344327706658915, 48.90049699811386], ""type"": ""Point""}";48.90049699811386,2.344327706658915
11087;Mobiliers urbains;Collecte des déchets:Trilib' dégradé;18 Rue de Mazagran, 75010 PARIS;75010;Paris 10;10;PORTE SAINT-DENIS - PARADIS;2021-01-08;2021;1;IOPage DMR Paris.fr application;TRILIB';A2021A011087;"{""coordinates"": [2.352240998304316, 48.8707730016144], ""type"": ""Point""}";48.8707730016144,2.352240998304316
11104;Objets abandonnés;Autres objets encombrants abandonnés;82 Rue du Rendez-Vous, 75012 PARIS;75012;Paris 12;12;BEL - AIR NORD;2021-01-08;2021;1;IOPage DMR Paris.fr application;Ramen en tant que prestataire de DansMaRue;A2021A011104;"{""coordinates"": [2.399488405572694, 48.84712000240352], ""type"": ""Point""}";48.84712000240352,2.399488405572694
11927;Objets abandonnés;Cartons;1 Square Alfred Capus, 75016 PARIS;75016;Paris 16;16;AUTEUIL NORD;2021-01-08;2021;1;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021A011927;"{""coordinates"": [2.259631402809926, 48.85093700329557], ""type"": ""Point""}";48.85093700329557,2.259631402809926
8657;Propreté;Propreté des équipements de collecte des déchets:Trilib' débordant - Présence de papier ou d'emballage à proximité;5 Rue Dalayrac, 75002 PARIS;75001;Paris 1;2;VIVIENNE - GAILLON;2021-01-07;2021;1;Androï;TRILIB';G2021A008657;"{""coordinates"": [2.335090599103756, 48.86766000172716], ""type"": ""Point""}";48.86766000172716,2.335090599103756
9476;Propreté;Déchets et/ou salissures divers;78 Rue du Château des Rentiers, 75013 PARIS;75013;Paris 13;13;MASSENA - JEANNE D'ARC;2021-01-07;2021;1;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021A009476;"{""coordinates"": [2.368931496737466, 48.82682000309017], ""type"": ""Point""}";48.82682000309017,2.368931496737466
